"","HabitatType","ER","DB","Sc1.1","Sc1.2","Sc2.1","Sc2.2"
"1","Cold-water coral reef",1016,300,300,300,300,300
"2","Cold seeps",1,1,1,1,1,1
"3","Coral Garden",1994,149,149,149,149,129
"4","Deep-sea Sponge Aggregations",10,6,6,6,6,6
"5","Mud and sand emergent fauna",4,4,4,4,4,4
"6","NULL",811,287,270,270,277,233
