"","VME_Indicator","ER","DB","Sc1.1","Sc1.2","Sc2.1","Sc2.2"
"1","Anemones",959,188,188,188,188,168
"2","Black coral",440,62,62,62,62,61
"3","Cup coral",51,17,17,17,17,17
"4","Gorgonian",640,81,81,81,81,77
"5","NULL",26,20,20,20,20,20
"6","Sea-pen",602,256,244,244,250,211
"7","Soft coral",47,10,5,5,6,6
"8","Sponge",187,29,29,29,29,29
"9","Stony coral",883,84,84,84,84,84
"10","Stylasterids",1,NA,NA,NA,NA,NA
