"","VME_Indicator","NoR","N","W_kg"
"1","Anemones",188,188,0
"2","Black coral",62,61,0
"3","Cup coral",17,17,0
"4","Gorgonian",81,64,0
"5","NULL",20,1,0
"6","Sea-pen",256,231,0
"7","Soft coral",10,3,0
"8","Sponge",29,28,0
"9","Stony coral",84,84,0
