"VME_Indicator","NoR","N","W_kg"
"Anemones",959,959,0
"Black coral",440,439,0
"Cup coral",51,51,0
"Gorgonian",640,506,0
"NULL",26,7,0
"Sea-pen",602,490,0
"Soft coral",47,17,0
"Sponge",187,182,0
"Stony coral",883,883,0
"Stylasterids",1,1,0
