"","VME_Indicator","NoR","N","W_kg"
"1","Anemones",234,1360,24
"2","Black coral",138,139,0.334
"3","Cup coral",107,1659,0.0495
"4","Gorgonian",38,29,4.1306
"5","NULL",564,600,0
"6","Sea-pen",488,1665,0.3977
"7","Soft coral",24,227,1.002
"8","Sponge",1200,702,109.7014
"9","Stony coral",323,146,22.5823
"10","Stylasterids",6,4,2.7232
