"","SurveyMethod","NoR"
"1","Agassiz trawl",39
"2","Bottom trawl",87
"3","GOV trawl",10
"4","Jackson trawl",57
"5","NULL",34
"6","Photo",1222
"7","Rock hopper otter trawl",1
"8","Seabed imagery - drop camera",32
"9","Seabed imagery - ROV system",753
"10","Seabed imagery - towed camera",815
"11","VID-TOW",72
