"SurveyMethod","NoR"
"Agassiz trawl",130
"Bottom trawl",1230
"Box corer",11
"GOV trawl",358
"Granton trawl",2
"Jackson trawl",293
"NULL",296
"Photo",1234
"Rock hopper otter trawl",31
"Seabed imagery - drop camera",70
"Seabed imagery - ROV system",4176
"Seabed imagery - towed camera",1337
"Unknown trawl (legacy data only)",33
"VID-TOW",77
