"HabitatType","NoR"
"Anemone aggregations",22
"Cold-water coral reef",386
"Coral Garden",1384
"Deep-sea Sponge Aggregations",739
"NULL",6187
"Seapen fields",458
"Stalked crinoid aggregations",6
"Tube-dwelling anemone aggregations",55
"Xenophyophore aggregations",41
