"VME_Indicator","NoR"
"Anemones",612
"Black coral",728
"Cup coral",364
"Gorgonian",337
"NULL",1357
"Sea-pen",1349
"Soft coral",213
"Sponge",2758
"Stony coral",1534
"Stylasterids",16
"Xenophyophores",10
