"","Region","VME presence","Precaution low -- fished","Precaution low -- total","Precaution medium -- fished","Precaution medium -- total","Precaution high -- fished","Precaution high -- total"
"1","Total region",64,22,25,15,18,13,21
"2","France",26,20,20,2,2,4,4
"3","Portugal",20,2,2,3,5,8,13
"4","Spain",18,NA,3,10,11,1,4
