"","S1O1","S1O2","S2O1","S2O2","S1O2_S2O1"
"Combined footprint",5.47,6.08,6.03,5.37,6.64
"Static footprint",5.1,5.72,5.47,5.05,6.08
"Mobile bottom contacting gear (MBCG) footprint",4.17,4.17,4.47,3.84,4.47
"The core MBCG fishing area (10-100% of SAR) in 2015-2018 within the MBCG footprint",1.05,1.05,1.14,0.84,1.14
"The less important MBCG fishing area (0-10% of SAR) in 2015-2018 within the MBCG footprint",2.53,2.53,2.71,2.37,2.71
"The area fished with average SAR >0 to ???0.43 in 2015-2018 within the MBCG footprint",1.98,1.98,2.14,1.94,2.14
"The area fished with average SAR >0.43 to ???1 in 2015-2018 within the MBCG footprint",0.46,0.46,0.48,0.39,0.48
"The area fished with average SAR >1 to ???3 in 2015-2018 within the MBCG footprint",0.65,0.65,0.68,0.52,0.68
"The area fished with average SAR >3 in 2015-2018 within the MBCG footprint",0.48,0.48,0.55,0.36,0.55
"The area fished with average SAR >0 to ???1 in 2015-2018 within the MBCG footprint",2.44,2.44,2.62,2.33,2.62
