VME indicator,Ecoregion,400-800 m depth,Sce1_O1,Sce1_O2,Sce2_O1,Sce2_O2,Sce1_O2-Sce2_O1
Anemones,959,928,928,928,928,883,928
Black coral,440,438,438,438,438,435,438
Cup coral,51,51,51,51,51,50,51
Gorgonian,640,528,528,528,528,523,528
Sea-pen,602,490,472,472,481,404,481
Soft coral,47,26,21,21,22,22,22
Sponge,187,171,171,171,171,168,171
Stony coral,883,871,871,871,871,868,871
Stylasterids,1,1,1,1,1,1,1
