"","area","perc"
"Core MBCG area 2015-18 outside the MBCG footprint",192.986526677227,1.57775220739767
"Less important MBCG area 2015-18 outside the MBCG footprint",5170.15445451745,42.2683528412577
"Unfished MBCG area 2015-18 outside the MBCG footprint",12796.5627734254,81.1087320376974
