"","Number of Sub-gears","France","Portugal","Spain"
"1","0",0,0,1
"2","1",14,224,163
"3","2",64,167,209
"4","3",172,157,248
"5","4",128,20,16
"6","5",85,0,11
"7","6",23,0,1
"8","7",1,0,0
"France","total",487,568,649
