"Poly_No","Coord_order","Longitude","Latitude","Hole","Group","VME_Csquare","VME_Habitat","VME_Indicator","VME_Elements"
1,"1_1",-7.575,36.25,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_2",-7.575,36.275,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_3",-7.575,36.3,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_4",-7.575,36.325,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_5",-7.55,36.325,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_6",-7.525,36.325,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_7",-7.5,36.325,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_8",-7.475,36.325,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_9",-7.475,36.3,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_10",-7.475,36.275,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_11",-7.475,36.25,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_12",-7.475,36.225,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_13",-7.5,36.225,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_14",-7.525,36.225,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_15",-7.55,36.225,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_16",-7.575,36.225,FALSE,"1_1","Low","NULL","Sea-pen",NA
1,"1_17",-7.575,36.25,FALSE,"1_1","Low","NULL","Sea-pen",NA
2,"2_1",-7.775,36.25,FALSE,"2_1","Low","NULL","Sea-pen",NA
2,"2_2",-7.775,36.275,FALSE,"2_1","Low","NULL","Sea-pen",NA
2,"2_3",-7.775,36.3,FALSE,"2_1","Low","NULL","Sea-pen",NA
2,"2_4",-7.775,36.325,FALSE,"2_1","Low","NULL","Sea-pen",NA
2,"2_5",-7.75,36.325,FALSE,"2_1","Low","NULL","Sea-pen",NA
2,"2_6",-7.725,36.325,FALSE,"2_1","Low","NULL","Sea-pen",NA
2,"2_7",-7.725,36.35,FALSE,"2_1","Low","NULL","Sea-pen",NA
2,"2_8",-7.725,36.375,FALSE,"2_1","Low","NULL","Sea-pen",NA
2,"2_9",-7.7,36.375,FALSE,"2_1","Low","NULL","Sea-pen",NA
2,"2_10",-7.675,36.375,FALSE,"2_1","Low","NULL","Sea-pen",NA
