"","Region","VME presence","Precaution low -- fished","Precaution low -- total","Precaution medium -- fished","Precaution medium -- total","Precaution high -- fished","Precaution high -- total","Sub-gear"
"1","Total region",392,66,76,71,71,234,245,NA
"2","France",7,4,4,3,3,0,0,NA
"5","France",7,1,4,3,3,0,0,"ref_OT_CRU"
"8","France",7,4,4,3,3,0,0,"ref_OT_DMF"
"11","France",7,0,4,0,3,0,0,"ref_OT_MIX"
"15","France",7,0,4,1,3,0,0,"ref_OT_MIX_DMF_BEN"
"18","France",7,0,4,0,3,0,0,"ref_OT_SPF"
"21","France",7,2,4,0,3,0,0,"ref_Static_FPO"
"24","France",7,4,4,3,3,0,0,"ref_Static_GNS"
"27","France",7,3,4,3,3,0,0,"ref_Static_LLS"
"3","Ireland",243,27,31,25,25,187,187,NA
"6","Ireland",243,6,31,5,25,172,187,"ref_OT_CRU"
"9","Ireland",243,12,31,19,25,186,187,"ref_OT_DMF"
"12","Ireland",243,1,31,2,25,2,187,"ref_OT_MIX"
"16","Ireland",243,7,31,9,25,125,187,"ref_OT_MIX_DMF_BEN"
"19","Ireland",243,0,31,0,25,1,187,"ref_OT_SPF"
"22","Ireland",243,8,31,7,25,20,187,"ref_Static_FPO"
"25","Ireland",243,18,31,17,25,147,187,"ref_Static_GNS"
"28","Ireland",243,13,31,14,25,132,187,"ref_Static_LLS"
"4","United Kingdom",142,35,41,43,43,47,58,NA
"7","United Kingdom",142,0,41,0,43,0,58,"ref_OT_CRU"
"10","United Kingdom",142,19,41,32,43,45,58,"ref_OT_DMF"
"13","United Kingdom",142,0,41,2,43,8,58,"ref_OT_MIX"
"14","United Kingdom",142,0,41,0,43,0,58,"OT_MIX_CRU_DMF"
"17","United Kingdom",142,18,41,16,43,41,58,"ref_OT_MIX_DMF_BEN"
"20","United Kingdom",142,0,41,0,43,1,58,"ref_OT_SPF"
"23","United Kingdom",142,2,41,6,43,1,58,"ref_Static_FPO"
"26","United Kingdom",142,22,41,33,43,18,58,"ref_Static_GNS"
"29","United Kingdom",142,4,41,5,43,18,58,"ref_Static_LLS"
