VME habitat,Ecoregion,400-800 m depth,Sce1_O1,Sce1_O2,Sce2_O1,Sce2_O2,Sce1_O2-Sce2_O1
Anemone aggregations,22,22,22,22,22,5,22
Cold-water coral reef,386,230,230,230,230,210,230
Coral Garden,1384,1042,1042,1042,1042,898,1042
Deep-sea Sponge Aggregations,739,635,635,635,635,508,635
Seapen fields,458,374,374,374,374,357,374
Stalked crinoid aggregations,6,NA,NA,NA,NA,NA,NA
Tube-dwelling anemone aggregations,55,21,21,21,21,18,21
Xenophyophore aggregations,41,7,7,7,7,4,7
