VME indicator,Ecoregion,400-800 m depth,Sce1_O1,Sce1_O2,Sce2_O1,Sce2_O2,Sce1_O2-Sce2_O1
Anemones,612,531,514,514,515,416,515
Black coral,728,194,194,194,194,180,194
Cup coral,364,130,116,116,116,65,116
Gorgonian,337,96,96,96,96,70,96
Sea-pen,1349,810,365,365,463,386,463
Soft coral,213,71,55,55,67,58,67
Sponge,2758,1332,1156,1156,1208,595,1208
Stony coral,1534,743,743,743,743,650,743
Stylasterids,16,14,14,14,14,12,14
Xenophyophores,10,NA,NA,NA,NA,NA,NA
