"","Number of Sub-gears","France","Ireland","United.Kingdom"
"1","1",0,293,491
"2","2",2,506,751
"3","3",14,589,490
"4","4",35,482,150
"5","5",19,315,37
"6","6",2,43,1
"7","7",0,1,0
"France","total",72,2229,1920
