"SurveyMethod","NoR"
"Seabed imagery - towed camera",442
"Bottom trawl",22
"Jackson trawl",73
"Agassiz trawl",39
"Seabed imagery - drop camera",24
"NULL",6
"Photo",641
"VID-TOW",39
