"HabitatType","NoR"
"NULL",350
"Seapen fields",6
"Coral Garden",20
"Stalked crinoid aggregations",3
"Xenophyophore aggregations",8
"Cold-water coral reef",4
"Tube-dwelling anemone aggregations",5
