"VME_Indicator","NoR","N","W_kg"
"NULL",8,0,0
"Cup coral",19,58,0.1245
"Stylasterids",1,1,0
"Sponge",156,4906,1990.6765
"Stony coral",30,36,16.1068
"Gorgonian",9,13,0.071
"Soft coral",5,13,0
"Sea-pen",14,88,0.1564
"Black coral",3,4,0
