"VME_Indicator","NoR","N","W_kg"
"Black coral",497,997,0.0041
"Soft coral",58,69,0.0034
"Sea-pen",93,107,0.0376
"Sponge",506,735,10.428
"Gorgonian",123,199,0.0063
"Cup coral",28,44,0.3769
"Stony coral",393,1585,0.0046
