"VME_Indicator","NoR","N","W_kg"
"NULL",395,3261,0
"Sea-pen",897,4254,0
"Anemones",574,14785,586
"Sponge",101,148,0
"Cup coral",23,63,0
"Soft coral",42,82,0
"Stony coral",549,437,0
"Xenophyophores",5,18,0
"Gorgonian",81,64,0
"Black coral",189,206,0
"Stylasterids",8,0,0
