"HabitatType","NoR"
"Coral Garden",1113
"Tube-dwelling anemone aggregations",30
"Seapen fields",427
"Deep-sea Sponge Aggregations",67
"Xenophyophore aggregations",16
"Cold-water coral reef",221
"NULL",967
"Stalked crinoid aggregations",1
"Anemone aggregations",22
