"VME_Indicator","NoR","N","W_kg"
"Xenophyophores",5,4,0
"Stony coral",115,74,0
"NULL",18,0,0
"Sponge",269,8,0
"Soft coral",7,50,0
"Anemones",19,51,0
"Cup coral",87,1612,0
"Gorgonian",4,2,0
