"VME_Indicator","NoR","N","W_kg"
"NULL",50,0,0
"Sea-pen",9,160,0.3234
"Soft coral",2,2,0.002
"Sponge",8,32,1.4665
"Stony coral",16,7,3.93
"Gorgonian",1,2,0
"Stylasterids",2,2,0.1032
"Cup coral",2,3,0.0021
"Black coral",1,1,0.334
