"VME_Indicator","NoR","N","W_kg"
"Anemones",6,297,11
"Cup coral",76,201,2.2247
"Sponge",78,125,64.9496
"NULL",46,0,0
"Sea-pen",104,254,1.4592
"Black coral",16,20,0.6167
"Gorgonian",46,142,1.1119
"Stony coral",13,13,7.3513
"Soft coral",9,183,0.019
"Stylasterids",2,2,2.62
