"SurveyMethod","NoR"
"Seabed imagery - ROV system",363
"GOV trawl",343
"Rock hopper otter trawl",35
"Seabed imagery - drop camera",21
"NULL",136
"Bottom trawl",1072
"Seabed imagery - towed camera",324
"Unknown trawl (legacy data only)",50
