"VME_Indicator","NoR","N","W_kg"
"NULL",378,0,0
"Gorgonian",53,85,15.8737
"Sponge",891,19549,569.3232
"Stony coral",541,196,283.209
"Sea-pen",257,19762,241.7765
"Cup coral",143,556,2.5092
"Soft coral",53,45,7.1695
"Black coral",23,24,0.6146
"Stylasterids",5,6,0.5947
