"SurveyMethod","NoR"
"Seabed imagery - ROV system",2062
"GOV trawl",109
"Seabed imagery - towed camera",578
"Box corer",5
"Seabed imagery - drop camera",2
"Rock hopper otter trawl",8
"Granton trawl",2
"Photo",12
"NULL",86
