"VME_Indicator","NoR","N","W_kg"
"NULL",1,0,0
"Sponge",15,18,28.2541
"Sea-pen",6,8,0.0743
"Stony coral",8,8,5.8143
"Gorgonian",2,3,0.2046
"Cup coral",4,6,0.0284
"Stylasterids",2,2,2.62
