"Poly_no","Coord_order","Longitude","Latitude","Hole","Group"
1,"1_1",-7.225,36.025,FALSE,"1.1"
1,"1_2",-7.225,36.05,FALSE,"1.1"
1,"1_3",-7.225,36.075,FALSE,"1.1"
1,"1_4",-7.25,36.075,FALSE,"1.1"
1,"1_5",-7.275,36.075,FALSE,"1.1"
1,"1_6",-7.3,36.075,FALSE,"1.1"
1,"1_7",-7.325,36.075,FALSE,"1.1"
1,"1_8",-7.325,36.05,FALSE,"1.1"
1,"1_9",-7.325,36.025,FALSE,"1.1"
1,"1_10",-7.325,36,FALSE,"1.1"
1,"1_11",-7.325,35.975,FALSE,"1.1"
1,"1_12",-7.3,35.975,FALSE,"1.1"
1,"1_13",-7.275,35.975,FALSE,"1.1"
1,"1_14",-7.25,35.975,FALSE,"1.1"
1,"1_15",-7.225,35.975,FALSE,"1.1"
1,"1_16",-7.225,36,FALSE,"1.1"
1,"1_17",-7.225,36.025,FALSE,"1.1"
2,"2_1",-7.975,36.125,FALSE,"2.1"
2,"2_2",-7.975,36.15,FALSE,"2.1"
2,"2_3",-7.975,36.175,FALSE,"2.1"
2,"2_4",-7.95,36.175,FALSE,"2.1"
2,"2_5",-7.925,36.175,FALSE,"2.1"
2,"2_6",-7.9,36.175,FALSE,"2.1"
2,"2_7",-7.875,36.175,FALSE,"2.1"
2,"2_8",-7.875,36.2,FALSE,"2.1"
2,"2_9",-7.875,36.225,FALSE,"2.1"
2,"2_10",-7.875,36.25,FALSE,"2.1"
2,"2_11",-7.875,36.275,FALSE,"2.1"
2,"2_12",-7.85,36.275,FALSE,"2.1"
2,"2_13",-7.825,36.275,FALSE,"2.1"
2,"2_14",-7.825,36.3,FALSE,"2.1"
2,"2_15",-7.825,36.325,FALSE,"2.1"
2,"2_16",-7.825,36.35,FALSE,"2.1"
2,"2_17",-7.825,36.375,FALSE,"2.1"
2,"2_18",-7.85,36.375,FALSE,"2.1"
2,"2_19",-7.875,36.375,FALSE,"2.1"
2,"2_20",-7.9,36.375,FALSE,"2.1"
2,"2_21",-7.925,36.375,FALSE,"2.1"
2,"2_22",-7.925,36.35,FALSE,"2.1"
2,"2_23",-7.925,36.325,FALSE,"2.1"
2,"2_24",-7.925,36.3,FALSE,"2.1"
2,"2_25",-7.925,36.275,FALSE,"2.1"
2,"2_26",-7.95,36.275,FALSE,"2.1"
2,"2_27",-7.975,36.275,FALSE,"2.1"
2,"2_28",-8,36.275,FALSE,"2.1"
2,"2_29",-8.025,36.275,FALSE,"2.1"
2,"2_30",-8.05,36.275,FALSE,"2.1"
2,"2_31",-8.075,36.275,FALSE,"2.1"
2,"2_32",-8.075,36.25,FALSE,"2.1"
2,"2_33",-8.075,36.225,FALSE,"2.1"
2,"2_34",-8.075,36.2,FALSE,"2.1"
2,"2_35",-8.075,36.175,FALSE,"2.1"
2,"2_36",-8.075,36.15,FALSE,"2.1"
2,"2_37",-8.075,36.125,FALSE,"2.1"
2,"2_38",-8.075,36.1,FALSE,"2.1"
2,"2_39",-8.075,36.075,FALSE,"2.1"
2,"2_40",-8.05,36.075,FALSE,"2.1"
2,"2_41",-8.025,36.075,FALSE,"2.1"
2,"2_42",-8,36.075,FALSE,"2.1"
2,"2_43",-7.975,36.075,FALSE,"2.1"
2,"2_44",-7.975,36.1,FALSE,"2.1"
2,"2_45",-7.975,36.125,FALSE,"2.1"
3,"3_1",-7.475,36.275,FALSE,"3.1"
3,"3_2",-7.475,36.3,FALSE,"3.1"
3,"3_3",-7.475,36.325,FALSE,"3.1"
3,"3_4",-7.5,36.325,FALSE,"3.1"
3,"3_5",-7.525,36.325,FALSE,"3.1"
3,"3_6",-7.55,36.325,FALSE,"3.1"
3,"3_7",-7.575,36.325,FALSE,"3.1"
3,"3_8",-7.575,36.3,FALSE,"3.1"
3,"3_9",-7.575,36.275,FALSE,"3.1"
3,"3_10",-7.575,36.25,FALSE,"3.1"
3,"3_11",-7.575,36.225,FALSE,"3.1"
3,"3_12",-7.55,36.225,FALSE,"3.1"
3,"3_13",-7.525,36.225,FALSE,"3.1"
3,"3_14",-7.5,36.225,FALSE,"3.1"
3,"3_15",-7.475,36.225,FALSE,"3.1"
3,"3_16",-7.475,36.25,FALSE,"3.1"
3,"3_17",-7.475,36.275,FALSE,"3.1"
4,"4_1",-7.675,36.275,FALSE,"4.1"
4,"4_2",-7.65,36.275,FALSE,"4.1"
4,"4_3",-7.625,36.275,FALSE,"4.1"
4,"4_4",-7.625,36.3,FALSE,"4.1"
4,"4_5",-7.625,36.325,FALSE,"4.1"
4,"4_6",-7.625,36.35,FALSE,"4.1"
4,"4_7",-7.625,36.375,FALSE,"4.1"
4,"4_8",-7.65,36.375,FALSE,"4.1"
4,"4_9",-7.675,36.375,FALSE,"4.1"
4,"4_10",-7.7,36.375,FALSE,"4.1"
4,"4_11",-7.725,36.375,FALSE,"4.1"
4,"4_12",-7.725,36.35,FALSE,"4.1"
4,"4_13",-7.725,36.325,FALSE,"4.1"
4,"4_14",-7.75,36.325,FALSE,"4.1"
4,"4_15",-7.775,36.325,FALSE,"4.1"
4,"4_16",-7.775,36.3,FALSE,"4.1"
4,"4_17",-7.775,36.275,FALSE,"4.1"
4,"4_18",-7.775,36.25,FALSE,"4.1"
4,"4_19",-7.775,36.225,FALSE,"4.1"
4,"4_20",-7.75,36.225,FALSE,"4.1"
4,"4_21",-7.725,36.225,FALSE,"4.1"
4,"4_22",-7.7,36.225,FALSE,"4.1"
4,"4_23",-7.675,36.225,FALSE,"4.1"
4,"4_24",-7.675,36.25,FALSE,"4.1"
4,"4_25",-7.675,36.275,FALSE,"4.1"
5,"5_1",-6.875,36.6,FALSE,"5.1"
5,"5_2",-6.875,36.625,FALSE,"5.1"
5,"5_3",-6.875,36.65,FALSE,"5.1"
5,"5_4",-6.875,36.675,FALSE,"5.1"
5,"5_5",-6.9,36.675,FALSE,"5.1"
5,"5_6",-6.925,36.675,FALSE,"5.1"
5,"5_7",-6.95,36.675,FALSE,"5.1"
5,"5_8",-6.975,36.675,FALSE,"5.1"
5,"5_9",-6.975,36.65,FALSE,"5.1"
5,"5_10",-6.975,36.625,FALSE,"5.1"
5,"5_11",-7,36.625,FALSE,"5.1"
5,"5_12",-7.025,36.625,FALSE,"5.1"
5,"5_13",-7.025,36.6,FALSE,"5.1"
5,"5_14",-7.025,36.575,FALSE,"5.1"
5,"5_15",-7.025,36.55,FALSE,"5.1"
5,"5_16",-7.025,36.525,FALSE,"5.1"
5,"5_17",-7,36.525,FALSE,"5.1"
5,"5_18",-6.975,36.525,FALSE,"5.1"
5,"5_19",-6.95,36.525,FALSE,"5.1"
5,"5_20",-6.925,36.525,FALSE,"5.1"
5,"5_21",-6.9,36.525,FALSE,"5.1"
5,"5_22",-6.875,36.525,FALSE,"5.1"
5,"5_23",-6.875,36.55,FALSE,"5.1"
5,"5_24",-6.875,36.575,FALSE,"5.1"
5,"5_25",-6.875,36.6,FALSE,"5.1"
6,"6_1",-7.225,36.525,FALSE,"6.1"
6,"6_2",-7.225,36.55,FALSE,"6.1"
6,"6_3",-7.225,36.575,FALSE,"6.1"
6,"6_4",-7.25,36.575,FALSE,"6.1"
6,"6_5",-7.275,36.575,FALSE,"6.1"
6,"6_6",-7.3,36.575,FALSE,"6.1"
6,"6_7",-7.325,36.575,FALSE,"6.1"
6,"6_8",-7.325,36.55,FALSE,"6.1"
6,"6_9",-7.325,36.525,FALSE,"6.1"
6,"6_10",-7.325,36.5,FALSE,"6.1"
6,"6_11",-7.325,36.475,FALSE,"6.1"
6,"6_12",-7.3,36.475,FALSE,"6.1"
6,"6_13",-7.275,36.475,FALSE,"6.1"
6,"6_14",-7.25,36.475,FALSE,"6.1"
6,"6_15",-7.225,36.475,FALSE,"6.1"
6,"6_16",-7.225,36.5,FALSE,"6.1"
6,"6_17",-7.225,36.525,FALSE,"6.1"
7,"7_1",-7.35,36.625,FALSE,"7.1"
7,"7_2",-7.325,36.625,FALSE,"7.1"
7,"7_3",-7.3,36.625,FALSE,"7.1"
7,"7_4",-7.275,36.625,FALSE,"7.1"
7,"7_5",-7.275,36.65,FALSE,"7.1"
7,"7_6",-7.275,36.675,FALSE,"7.1"
7,"7_7",-7.25,36.675,FALSE,"7.1"
7,"7_8",-7.225,36.675,FALSE,"7.1"
7,"7_9",-7.2,36.675,FALSE,"7.1"
7,"7_10",-7.175,36.675,FALSE,"7.1"
7,"7_11",-7.175,36.7,FALSE,"7.1"
7,"7_12",-7.175,36.725,FALSE,"7.1"
7,"7_13",-7.175,36.75,FALSE,"7.1"
7,"7_14",-7.175,36.775,FALSE,"7.1"
7,"7_15",-7.2,36.775,FALSE,"7.1"
7,"7_16",-7.225,36.775,FALSE,"7.1"
7,"7_17",-7.25,36.775,FALSE,"7.1"
7,"7_18",-7.275,36.775,FALSE,"7.1"
7,"7_19",-7.275,36.75,FALSE,"7.1"
7,"7_20",-7.275,36.725,FALSE,"7.1"
7,"7_21",-7.3,36.725,FALSE,"7.1"
7,"7_22",-7.325,36.725,FALSE,"7.1"
7,"7_23",-7.35,36.725,FALSE,"7.1"
7,"7_24",-7.375,36.725,FALSE,"7.1"
7,"7_25",-7.375,36.7,FALSE,"7.1"
7,"7_26",-7.375,36.675,FALSE,"7.1"
7,"7_27",-7.375,36.65,FALSE,"7.1"
7,"7_28",-7.375,36.625,FALSE,"7.1"
7,"7_29",-7.35,36.625,FALSE,"7.1"
8,"8_1",-7.1,36.725,FALSE,"8.1"
8,"8_2",-7.075,36.725,FALSE,"8.1"
8,"8_3",-7.05,36.725,FALSE,"8.1"
8,"8_4",-7.025,36.725,FALSE,"8.1"
8,"8_5",-7.025,36.75,FALSE,"8.1"
8,"8_6",-7.025,36.775,FALSE,"8.1"
8,"8_7",-7.025,36.8,FALSE,"8.1"
8,"8_8",-7.025,36.825,FALSE,"8.1"
