"Poly_no","Coord_order","Longitude","Latitude","Hole","Group"
1,"1_1",-7.225,35.975,FALSE,"1.1"
1,"1_2",-7.25,35.975,FALSE,"1.1"
1,"1_3",-7.275,35.975,FALSE,"1.1"
1,"1_4",-7.3,35.975,FALSE,"1.1"
1,"1_5",-7.325,35.975,FALSE,"1.1"
1,"1_6",-7.325,36,FALSE,"1.1"
1,"1_7",-7.325,36.025,FALSE,"1.1"
1,"1_8",-7.325,36.05,FALSE,"1.1"
1,"1_9",-7.325,36.075,FALSE,"1.1"
1,"1_10",-7.3,36.075,FALSE,"1.1"
1,"1_11",-7.275,36.075,FALSE,"1.1"
1,"1_12",-7.25,36.075,FALSE,"1.1"
1,"1_13",-7.225,36.075,FALSE,"1.1"
1,"1_14",-7.225,36.05,FALSE,"1.1"
1,"1_15",-7.225,36.025,FALSE,"1.1"
1,"1_16",-7.225,36,FALSE,"1.1"
1,"1_17",-7.225,35.975,FALSE,"1.1"
2,"2_1",-7.025,36.525,FALSE,"2.1"
2,"2_2",-7.025,36.55,FALSE,"2.1"
2,"2_3",-7.025,36.575,FALSE,"2.1"
2,"2_4",-7.025,36.6,FALSE,"2.1"
2,"2_5",-7.025,36.625,FALSE,"2.1"
2,"2_6",-7,36.625,FALSE,"2.1"
2,"2_7",-6.975,36.625,FALSE,"2.1"
2,"2_8",-6.975,36.65,FALSE,"2.1"
2,"2_9",-6.975,36.675,FALSE,"2.1"
2,"2_10",-6.95,36.675,FALSE,"2.1"
2,"2_11",-6.925,36.675,FALSE,"2.1"
2,"2_12",-6.9,36.675,FALSE,"2.1"
2,"2_13",-6.875,36.675,FALSE,"2.1"
2,"2_14",-6.875,36.65,FALSE,"2.1"
2,"2_15",-6.875,36.625,FALSE,"2.1"
2,"2_16",-6.875,36.6,FALSE,"2.1"
2,"2_17",-6.875,36.575,FALSE,"2.1"
2,"2_18",-6.875,36.55,FALSE,"2.1"
2,"2_19",-6.875,36.525,FALSE,"2.1"
2,"2_20",-6.9,36.525,FALSE,"2.1"
2,"2_21",-6.925,36.525,FALSE,"2.1"
2,"2_22",-6.95,36.525,FALSE,"2.1"
2,"2_23",-6.975,36.525,FALSE,"2.1"
2,"2_24",-7,36.525,FALSE,"2.1"
2,"2_25",-7.025,36.525,FALSE,"2.1"
3,"3_1",-7.325,36.475,FALSE,"3.1"
