"csquares","Ecoregion","EEZ"
"7400:489:216:1","Celtic Seas","France"
"7400:489:215:2","Celtic Seas","France"
"7400:489:215:1","Celtic Seas","France"
"7400:488:207:1","Bay of Biscay and the Iberian Coast","France"
"7400:488:206:2","Bay of Biscay and the Iberian Coast","France"
"7400:488:206:1","Bay of Biscay and the Iberian Coast","France"
"7400:488:205:2","Bay of Biscay and the Iberian Coast","France"
"7400:488:205:1","Bay of Biscay and the Iberian Coast","France"
"7400:488:104:2","Bay of Biscay and the Iberian Coast","France"
"7400:488:104:1","Bay of Biscay and the Iberian Coast","France"
"7400:488:103:2","Bay of Biscay and the Iberian Coast","France"
"7400:488:103:1","Bay of Biscay and the Iberian Coast","France"
"7400:488:102:2","Bay of Biscay and the Iberian Coast","France"
"7400:488:102:1","Bay of Biscay and the Iberian Coast","France"
"7400:488:101:2","Bay of Biscay and the Iberian Coast","France"
"7400:488:101:1","Bay of Biscay and the Iberian Coast","France"
"7400:488:100:2","Bay of Biscay and the Iberian Coast","France"
"7300:456:499:1",NA,"Spain"
"7300:456:498:2",NA,"Spain"
"7300:456:498:1",NA,"Spain"
"7300:456:497:2",NA,"Spain"
"7300:456:497:1",NA,"Spain"
"7300:456:496:2",NA,"Spain"
"7300:456:496:1",NA,"Spain"
"7300:456:495:2",NA,"Spain"
"7300:456:495:1",NA,"Spain"
"7300:456:489:3",NA,"Spain"
"7300:456:488:4",NA,"Spain"
"7300:456:488:3",NA,"Spain"
"7301:141:499:4",NA,"Portugal"
"7301:141:499:3",NA,"Portugal"
"7301:141:498:4",NA,"Portugal"
"7301:141:498:3",NA,"Portugal"
"7301:141:499:2",NA,"Portugal"
"7301:141:499:1",NA,"Portugal"
"7301:141:498:2",NA,"Portugal"
